epoch: 1 loss: tensor(3.5805, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 2 loss: tensor(3.3723, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 3 loss: tensor(2.3896, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 4 loss: tensor(1.9142, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 5 loss: tensor(2.0237, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 6 loss: tensor(1.4702, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 7 loss: tensor(1.2951, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 8 loss: tensor(0.9796, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 9 loss: tensor(0.7719, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 10 loss: tensor(0.8680, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 11 loss: tensor(0.7318, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 12 loss: tensor(0.6686, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 13 loss: tensor(0.6481, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 14 loss: tensor(0.6295, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 15 loss: tensor(0.5349, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 16 loss: tensor(0.5525, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 17 loss: tensor(0.5856, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 18 loss: tensor(0.5878, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 19 loss: tensor(0.5653, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 20 loss: tensor(0.5670, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 21 loss: tensor(0.5373, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 22 loss: tensor(0.4394, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 23 loss: tensor(0.5151, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 1 loss: tensor(0.7528, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 2 loss: tensor(0.6389, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 3 loss: tensor(0.5538, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 4 loss: tensor(0.5435, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 5 loss: tensor(0.5767, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 6 loss: tensor(0.4883, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 7 loss: tensor(0.5137, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 8 loss: tensor(0.4687, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 9 loss: tensor(0.4957, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 10 loss: tensor(0.4532, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 11 loss: tensor(0.4269, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 12 loss: tensor(0.4349, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 13 loss: tensor(0.4416, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 14 loss: tensor(0.3735, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 15 loss: tensor(0.4119, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 16 loss: tensor(0.3903, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 17 loss: tensor(0.3841, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 18 loss: tensor(0.4141, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 19 loss: tensor(0.3716, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 20 loss: tensor(0.3444, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 21 loss: tensor(0.3779, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 22 loss: tensor(0.3809, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 23 loss: tensor(0.3775, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 24 loss: tensor(0.3724, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 25 loss: tensor(0.3427, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 26 loss: tensor(0.3565, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 27 loss: tensor(0.3650, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 28 loss: tensor(0.3367, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 29 loss: tensor(0.3215, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 30 loss: tensor(0.2955, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 31 loss: tensor(0.3054, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 32 loss: tensor(0.2983, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 33 loss: tensor(0.3011, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 34 loss: tensor(0.2647, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 35 loss: tensor(0.2757, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 36 loss: tensor(0.2653, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 37 loss: tensor(0.2744, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 38 loss: tensor(0.2466, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 39 loss: tensor(0.2504, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 40 loss: tensor(0.2593, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 41 loss: tensor(0.2201, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 42 loss: tensor(0.2409, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 43 loss: tensor(0.2398, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 44 loss: tensor(0.2374, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 45 loss: tensor(0.2107, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 46 loss: tensor(0.2227, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 47 loss: tensor(0.2123, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 48 loss: tensor(0.2075, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 49 loss: tensor(0.2115, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 50 loss: tensor(0.2078, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 51 loss: tensor(0.2324, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 52 loss: tensor(0.2148, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 53 loss: tensor(0.2137, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 54 loss: tensor(0.1963, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 55 loss: tensor(0.1920, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 56 loss: tensor(0.1892, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 57 loss: tensor(0.1938, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 58 loss: tensor(0.1957, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 59 loss: tensor(0.1806, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 60 loss: tensor(0.1776, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 61 loss: tensor(0.1980, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 62 loss: tensor(0.2012, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 63 loss: tensor(0.1980, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 64 loss: tensor(0.1843, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 65 loss: tensor(0.1834, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 66 loss: tensor(0.1896, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 67 loss: tensor(0.1891, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 68 loss: tensor(0.1766, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 69 loss: tensor(0.1819, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 70 loss: tensor(0.1665, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 71 loss: tensor(0.1666, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 72 loss: tensor(0.1639, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 73 loss: tensor(0.1700, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 74 loss: tensor(0.1733, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 75 loss: tensor(0.1720, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 76 loss: tensor(0.1732, device='cuda:0', grad_fn=<AddBackward0>)
