batch: 0 loss: tensor(0.9967, device='cuda:0', grad_fn=<AddBackward0>)
batch: 1 loss: tensor(nan, device='cuda:0', grad_fn=<AddBackward0>)
batch: 2 loss: tensor(nan, device='cuda:0', grad_fn=<AddBackward0>)
batch: 3 loss: tensor(nan, device='cuda:0', grad_fn=<AddBackward0>)
batch: 4 loss: tensor(nan, device='cuda:0', grad_fn=<AddBackward0>)
batch: 5 loss: tensor(nan, device='cuda:0', grad_fn=<AddBackward0>)
batch: 6 loss: tensor(nan, device='cuda:0', grad_fn=<AddBackward0>)
batch: 7 loss: tensor(nan, device='cuda:0', grad_fn=<AddBackward0>)
batch: 8 loss: tensor(nan, device='cuda:0', grad_fn=<AddBackward0>)
batch: 9 loss: tensor(nan, device='cuda:0', grad_fn=<AddBackward0>)
batch: 10 loss: tensor(nan, device='cuda:0', grad_fn=<AddBackward0>)
batch: 11 loss: tensor(nan, device='cuda:0', grad_fn=<AddBackward0>)
batch: 12 loss: tensor(nan, device='cuda:0', grad_fn=<AddBackward0>)
batch: 13 loss: tensor(nan, device='cuda:0', grad_fn=<AddBackward0>)
batch: 14 loss: tensor(nan, device='cuda:0', grad_fn=<AddBackward0>)
batch: 15 loss: tensor(nan, device='cuda:0', grad_fn=<AddBackward0>)
batch: 16 loss: tensor(nan, device='cuda:0', grad_fn=<AddBackward0>)
batch: 17 loss: tensor(nan, device='cuda:0', grad_fn=<AddBackward0>)
batch: 18 loss: tensor(nan, device='cuda:0', grad_fn=<AddBackward0>)
batch: 19 loss: tensor(nan, device='cuda:0', grad_fn=<AddBackward0>)
batch: 20 loss: tensor(nan, device='cuda:0', grad_fn=<AddBackward0>)
batch: 21 loss: tensor(nan, device='cuda:0', grad_fn=<AddBackward0>)
batch: 22 loss: recon_loss tensor(0.9854, device='cuda:0', grad_fn=<MseLossBackward0>)
kl_div tensor(0.0815, device='cuda:0', grad_fn=<MulBackward0>)
recon_loss tensor(1.0022, device='cuda:0', grad_fn=<MseLossBackward0>)
