
epoch: 1 loss: tensor(0.8151, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 2 loss: tensor(0.7763, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 3 loss: tensor(0.7817, device='cuda:0', grad_fn=<AddBackward0>)

epoch: 4 loss: tensor(0.8175, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 5 loss: tensor(0.7791, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 6 loss: tensor(0.8060, device='cuda:0', grad_fn=<AddBackward0>)

epoch: 7 loss: tensor(0.8246, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 8 loss: tensor(0.8528, device='cuda:0', grad_fn=<AddBackward0>)

epoch: 9 loss: tensor(0.7912, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 10 loss: tensor(0.8045, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 11 loss: tensor(0.8130, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 12 loss: tensor(0.7890, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 13 loss: tensor(0.7599, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 14 loss: tensor(0.7802, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 15 loss: tensor(0.7747, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 16 loss: tensor(0.7438, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 17 loss: tensor(0.8040, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 18 loss: tensor(0.7880, device='cuda:0', grad_fn=<AddBackward0>)

epoch: 19 loss: tensor(0.7714, device='cuda:0', grad_fn=<AddBackward0>)

epoch: 20 loss: tensor(0.8106, device='cuda:0', grad_fn=<AddBackward0>)

epoch: 21 loss: tensor(0.8485, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 22 loss: tensor(0.7599, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 23 loss: tensor(0.7946, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 24 loss: tensor(0.8019, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 25 loss: tensor(0.7678, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 26 loss: tensor(0.7854, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 27 loss: tensor(0.8283, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 28 loss: tensor(0.8056, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 29 loss: tensor(0.8582, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 30 loss: tensor(0.7525, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 31 loss: tensor(0.8023, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 32 loss: tensor(0.8414, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 33 loss: tensor(0.8412, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 34 loss: tensor(0.8208, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 35 loss: tensor(0.8405, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 36 loss: tensor(0.7918, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 37 loss: tensor(0.8544, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 38 loss: tensor(0.8642, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 39 loss: tensor(0.7781, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 40 loss: tensor(0.8309, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 41 loss: tensor(0.7868, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 42 loss: tensor(0.8565, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 43 loss: tensor(0.7779, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 44 loss: tensor(0.8224, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 45 loss: tensor(0.7673, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 46 loss: tensor(0.8905, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 47 loss: tensor(0.8283, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 48 loss: tensor(0.8639, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 49 loss: tensor(0.8255, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 50 loss: tensor(0.8636, device='cuda:0', grad_fn=<AddBackward0>)
epoch: 51 loss: tensor(0.7974, device='cuda:0', grad_fn=<AddBackward0>)
