epoch: 1 loss: tensor(3.8547, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0045, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0240, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1215, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3412862.2500, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8262, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 2 loss: tensor(4.0489, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0057, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1426, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1131, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3356153.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.9007, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 3 loss: tensor(4.1023, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0069, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1797, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1114, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3231987.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.9156, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 4 loss: tensor(4.0502, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0072, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1497, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1174, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3335435., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8932, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 5 loss: tensor(3.9191, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0056, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0709, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1234, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3215030., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8426, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 6 loss: tensor(3.8948, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0071, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1448, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1254, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3067392.2500, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7430, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 7 loss: tensor(4.0897, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0096, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1745, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1134, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3128904.7500, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.9056, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 8 loss: tensor(4.0071, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0105, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0656, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1051, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3100987., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.9310, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 9 loss: tensor(3.9806, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0090, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1347, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1164, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3075514., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8369, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 10 loss: tensor(4.0242, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0065, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2003, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1177, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3159767., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8174, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 11 loss: tensor(3.9470, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0065, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0731, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1257, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3326864.7500, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8674, device='cuda:0', grad_fn=<MseLossBackward0>)
