epoch: 1 loss: tensor(4.4099, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0135, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.3959, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2045, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1217, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(158651.3125, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.1919, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 2 loss: tensor(4.2439, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0031, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0772, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1459, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1163, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(206709.4375, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.0949, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 3 loss: tensor(4.1876, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0050, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2704, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1500, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1185, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(681937.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.0325, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 4 loss: tensor(4.1630, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0069, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2147, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1211, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1073, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2043639.6250, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.0350, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 5 loss: tensor(4.0968, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0032, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0021, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1126, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1129, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2689710.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.9810, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 6 loss: tensor(3.9227, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0030, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0342, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9886, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1163, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2662387.7500, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.9311, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 7 loss: tensor(4.1769, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0039, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1974, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1106, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2533344.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.9755, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 8 loss: tensor(4.0987, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0047, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0001, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1130, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1170, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2544657.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.9810, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 9 loss: tensor(4.0190, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0051, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1695, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1259, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2644429., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8444, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 10 loss: tensor(3.9782, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0061, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9788, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1074, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2760341.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.9932, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 11 loss: tensor(4.0693, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0057, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(-0., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1435, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1162, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2767317.7500, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.9201, device='cuda:0', grad_fn=<MseLossBackward0>)
