
epoch: 1 loss: tensor(3.3841, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7644, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(52.6617, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9774, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0134, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4782728., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6423, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(3.3531, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7906, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(44.3094, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9077, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0104, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5181673., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6548, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 2 loss: tensor(3.5719, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7943, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(45.0707, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0823, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0151, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5400891., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6953, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 3 loss: tensor(3.3399, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7404, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(53.6980, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9808, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0136, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5810387., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6187, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 4 loss: tensor(3.4681, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8182, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(42.7709, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9687, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0188, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5572048.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6812, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 5 loss: tensor(3.3625, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7466, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(48.6122, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9871, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0191, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5330449.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6288, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 6 loss: tensor(3.5643, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8005, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(52.3693, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1178, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0146, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5079952., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6460, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 7 loss: tensor(3.4191, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7619, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(50.4934, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0372, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0155, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5717201., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6199, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 8 loss: tensor(3.4093, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7560, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(52.9972, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0319, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0172, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5565082., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6213, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 9 loss: tensor(3.3163, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7097, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(44.0661, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0344, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0101, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4974061., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5722, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 10 loss: tensor(3.4204, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7502, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(59.3019, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0448, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0145, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5201297.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6254, device='cuda:0', grad_fn=<MseLossBackward0>)
