epoch: 1 loss: tensor(4.9038, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.2705, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.9727, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3391, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1111, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(7765.7705, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.2941, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 2 loss: tensor(4.8793, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.2474, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.9623, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3608, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1132, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(7765.7861, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.2711, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 3 loss: tensor(4.8004, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.2780, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.9573, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2202, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1059, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(7765.7305, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.3022, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 4 loss: tensor(4.6810, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.2021, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.9243, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2529, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1170, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(7765.8169, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.2260, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 5 loss: tensor(4.8059, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.2854, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.9455, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2118, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1123, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(7765.7861, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.3087, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 6 loss: tensor(4.6066, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.1769, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.9397, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2293, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1091, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(7765.7510, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.2003, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 7 loss: tensor(4.6151, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.2004, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.9677, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1908, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1057, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(7765.7197, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.2239, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 8 loss: tensor(4.7668, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.2587, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.9494, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2264, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1013, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(7765.7002, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.2817, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 9 loss: tensor(4.7488, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.2827, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.9809, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1605, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1061, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(7765.7324, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.3055, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 10 loss: tensor(4.6676, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.2033, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.9406, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2381, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1106, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(7765.7734, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.2262, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 11 loss: tensor(4.5085, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.1930, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.9587, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0990, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1142, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(7765.7959, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.2165, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 12 loss: tensor(4.6251, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.1897, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.9548, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2219, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1107, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(7765.7686, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.2135, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 13 loss: tensor(4.6652, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.2337, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.9531, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1741, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1132, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(7765.7969, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.2574, device='cuda:0', grad_fn=<MseLossBackward0>)
