epoch: 1 loss: tensor(4.4609, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.2039, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(10.4431, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9614, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0457, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(320891.5938, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.2957, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 2 loss: tensor(4.2163, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.9991, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(9.7803, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1423, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0488, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(635158.4375, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.0749, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 3 loss: tensor(3.8771, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.9101, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(12.2392, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0149, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0355, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2555229., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.9521, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 4 loss: tensor(3.7156, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8178, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(19.6280, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0621, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0308, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2849563., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8357, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 5 loss: tensor(3.6554, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8136, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22.6618, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0310, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0248, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3493730., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8108, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 6 loss: tensor(3.6392, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8001, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(28.5253, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0416, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0159, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3797022., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7975, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 7 loss: tensor(3.6853, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8217, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(31.3434, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0488, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0202, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4019286., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8148, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 8 loss: tensor(3.6174, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8172, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(37.6671, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9880, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0272, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3762026., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8121, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 9 loss: tensor(3.6192, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8042, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(38.4049, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0147, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0294, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3746031.7500, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8002, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 10 loss: tensor(3.6851, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8358, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(35.9220, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0367, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0348, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3921136.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8127, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 11 loss: tensor(3.5035, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7712, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(40.4384, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9867, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0216, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4102007.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7455, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 12 loss: tensor(3.5641, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7719, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(41.3568, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0498, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0179, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3830843., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7424, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 13 loss: tensor(3.5578, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7569, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(44.6504, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0617, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0303, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4148005.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7391, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 14 loss: tensor(3.5571, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7991, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(41.2054, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9741, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0204, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4045106., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7839, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 15 loss: tensor(3.6120, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7796, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(48.5866, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0662, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0329, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4333931., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7662, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 16 loss: tensor(3.5508, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8212, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(38.7230, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9646, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0282, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4314482., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7650, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 17 loss: tensor(3.5359, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7893, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(41.5827, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9830, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0212, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4182769.7500, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7636, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 18 loss: tensor(3.5060, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8113, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(47.0672, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9183, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0467, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4357103., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7765, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 19 loss: tensor(3.5653, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7999, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(45.4996, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9969, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0387, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4292693., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7686, device='cuda:0', grad_fn=<MseLossBackward0>)
