epoch: 1 loss: tensor(4.4815, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.2125, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(6.2943, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0286, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0492, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(11110.2852, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.2403, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 2 loss: tensor(1294702.5000, device='cuda:0', grad_fn=<AddBackward0>) tensor(9.0749, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4.2060e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1294691.1250, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68.1927, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8710.4277, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.2374, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 3 loss: tensor(14.5839, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.2125, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3787.6709, device='cuda:0', grad_fn=<MulBackward0>) tensor(11.1368, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.2962, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(7345.9297, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.2346, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 4 loss: tensor(12.6453, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.2125, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2596.6050, device='cuda:0', grad_fn=<MulBackward0>) tensor(9.1998, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0059, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(6132.9414, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.2329, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 5 loss: tensor(9.7650, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.2125, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1707.2545, device='cuda:0', grad_fn=<MulBackward0>) tensor(6.3208, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9581, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5059.5195, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.2317, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 6 loss: tensor(6.8499, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.2125, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(974.9537, device='cuda:0', grad_fn=<MulBackward0>) tensor(3.4077, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7100, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4115.0615, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.2297, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 7 loss: tensor(6.5206, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.2125, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(651.3352, device='cuda:0', grad_fn=<MulBackward0>) tensor(3.0809, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5236, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3288.4150, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.2271, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 8 loss: tensor(6.1923, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.2125, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(482.2207, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.7539, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.3958, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2569.6533, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.2258, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 9 loss: tensor(6.7395, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.2125, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(365.6232, device='cuda:0', grad_fn=<MulBackward0>) tensor(3.3030, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.3094, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1951.2242, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.2240, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 10 loss: tensor(5.7503, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.2125, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(285.3063, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.3158, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2519, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1427.9841, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.2219, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 11 loss: tensor(5.2322, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.2125, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(215.3178, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7984, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2134, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(995.6454, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.2212, device='cuda:0', grad_fn=<MseLossBackward0>)
