epoch: 1 loss: tensor(4.4974, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.9869, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(141.6069, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5291, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1591, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2299202., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.9815, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 2 loss: tensor(3.7391, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7948, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(48.7339, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1569, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0389, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3870528., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7875, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 3 loss: tensor(3.5999, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8072, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(29.5049, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0010, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0267, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3750694., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7916, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 4 loss: tensor(3.7310, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8367, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(17.7035, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0926, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0219, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3588694., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8016, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 5 loss: tensor(3.5843, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7963, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(23.2319, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0241, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0175, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4032684.7500, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7640, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 6 loss: tensor(3.5287, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7712, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(25.3915, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0195, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0155, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4143128.7500, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7380, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 7 loss: tensor(3.6601, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8190, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22.7526, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0558, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0196, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3805656.7500, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7852, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 8 loss: tensor(3.5850, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8094, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(25.7057, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0015, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0160, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3871386.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7742, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 9 loss: tensor(3.5573, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8579, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(20.5249, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8691, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0176, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4045470., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8302, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 10 loss: tensor(3.5376, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7990, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(16.5075, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9719, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0235, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3730442., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7668, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 11 loss: tensor(3.4963, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7612, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22.5602, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0030, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0185, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3879236., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7321, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 12 loss: tensor(3.6065, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7389, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(18.1077, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1473, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0239, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4224532.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7203, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 13 loss: tensor(3.5742, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7944, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(23.6616, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0073, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0160, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4067446.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7725, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 14 loss: tensor(3.6280, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8085, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21.3525, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0314, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0212, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3638456., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7881, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 15 loss: tensor(3.5524, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7941, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(18.2027, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9874, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0353, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5137409.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7708, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 16 loss: tensor(3.6148, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7759, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(27.6523, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0982, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0181, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3962025.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7407, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 17 loss: tensor(3.6985, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8402, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(33.7040, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0517, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0118, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4602727., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8067, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 18 loss: tensor(3.6887, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8175, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30.9983, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0833, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0134, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3457806., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7880, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 19 loss: tensor(3.7076, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7844, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(27.5858, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1656, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0260, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4167853.2500, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7577, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 20 loss: tensor(3.6755, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8298, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(23.2291, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0426, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0239, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4166527.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8030, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 21 loss: tensor(3.6419, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7849, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(20.9510, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1167, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0348, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4098764., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7403, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 22 loss: tensor(3.5791, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7972, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21.5774, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0131, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0202, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4331243., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7687, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 23 loss: tensor(3.4382, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7455, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(29.0027, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9770, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0144, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4048073.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7156, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 24 loss: tensor(3.5780, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8073, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(34.8098, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0006, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0117, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4526886., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7702, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 25 loss: tensor(3.5949, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8405, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(32.0663, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9449, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0127, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3889437., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8096, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 26 loss: tensor(3.6093, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7649, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(50.8895, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1103, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0078, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4450991.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7341, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 27 loss: tensor(3.6310, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7978, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(48.1524, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0640, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0060, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4014030.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7692, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 28 loss: tensor(3.5335, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7684, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(51.1756, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0222, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0097, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4150006.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7429, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 29 loss: tensor(3.6391, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8212, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(46.0450, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0127, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0079, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3982880.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8051, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 30 loss: tensor(3.6841, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8123, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(39.7873, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0699, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0227, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4278000., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8019, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 31 loss: tensor(3.4887, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7911, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(39.7313, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9539, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0117, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3868314., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7437, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 32 loss: tensor(3.5543, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7862, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(46.6272, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0072, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0070, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4162243.2500, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7609, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 33 loss: tensor(3.4972, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7558, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(48.6621, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0133, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0089, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4558149., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7281, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 34 loss: tensor(3.6107, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8206, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(35.9140, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9791, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0171, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4098014.7500, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8109, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 35 loss: tensor(3.4476, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7084, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(71.4788, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0445, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0066, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4113159.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6946, device='cuda:0', grad_fn=<MseLossBackward0>)
