epoch: 1 loss: tensor(3.1348, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0147, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5.8917, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1201, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1251, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2397724.2500, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0001, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 2 loss: tensor(2.6914, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8211, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.6750, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0518, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1103, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3442648.2500, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8185, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 3 loss: tensor(2.7098, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8116, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4591, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1056, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1155, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4069559.2500, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7926, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 4 loss: tensor(2.8648, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8501, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(7.0741, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1830, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0906, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3932883.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8318, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 5 loss: tensor(2.6239, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8347, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(18.0295, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9858, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0446, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4244195.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8033, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 6 loss: tensor(2.4845, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7807, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(48.8366, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9480, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0179, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3485704., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7557, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 7 loss: tensor(2.5173, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7931, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(32.9617, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9589, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0119, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4198105.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7654, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 8 loss: tensor(2.6570, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8220, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(57.6289, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0438, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0070, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4555062., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7912, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 9 loss: tensor(2.6292, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7616, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(80.8406, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1196, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0047, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4208624.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7480, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 10 loss: tensor(2.5661, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7655, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(29.2318, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0439, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0192, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4891977., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7567, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 11 loss: tensor(2.7289, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7955, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(45.4807, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1419, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0088, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3902000., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7914, device='cuda:0', grad_fn=<MseLossBackward0>)
