epoch: 1 loss: tensor(1.9128, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.9310, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24.6644, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0239, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0632, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3463673., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9579, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 2 loss: tensor(1.7489, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8681, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(39.0889, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0144, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0312, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3888011., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8664, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 3 loss: tensor(1.5709, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7729, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(34.2454, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0087, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0567, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4067177.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7894, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 4 loss: tensor(1.5229, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7141, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30.0637, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0170, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0433, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4168337.7500, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7918, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 5 loss: tensor(1.5363, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7201, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(39.5952, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0102, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0264, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4507512., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8059, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 6 loss: tensor(1.4366, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6738, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(35.2802, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0088, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0316, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4052052.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7540, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 7 loss: tensor(1.4535, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6807, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(48.5562, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0116, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0294, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4339534.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7612, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 8 loss: tensor(1.2986, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6050, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(43.5228, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0070, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0247, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4162222.7500, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6866, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 9 loss: tensor(1.4112, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6557, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(51.2773, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0095, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0262, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3795987., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7460, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 10 loss: tensor(1.4598, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6777, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(49.7926, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0114, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0209, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4211095., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7706, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 11 loss: tensor(1.4299, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6614, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(41.0514, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0072, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0181, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4149323.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7614, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 12 loss: tensor(1.3880, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6415, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(42.6641, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0065, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0171, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3896991.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7400, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 13 loss: tensor(1.3455, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6138, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(48.2968, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0079, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0193, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3914598., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7239, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 14 loss: tensor(1.3763, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6229, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(45.6389, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0092, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0197, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3818893., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7442, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 15 loss: tensor(1.3928, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6393, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(41.6289, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0081, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0173, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4184240.2500, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7454, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 16 loss: tensor(1.3331, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6091, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(40.6779, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0075, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0103, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4192959.2500, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7165, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 17 loss: tensor(1.6118, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7270, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(33.6855, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0064, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0084, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4327373., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8784, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 18 loss: tensor(1.4479, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6589, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(34.1742, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0061, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0159, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4303060.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7828, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 19 loss: tensor(1.4659, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6562, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(34.6304, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0063, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0080, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4097631., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8034, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 20 loss: tensor(1.3925, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6308, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(33.8152, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0059, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0060, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4598254., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7558, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 21 loss: tensor(1.4084, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6228, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(39.3186, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0079, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0107, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4002399.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7778, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 22 loss: tensor(1.3722, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6069, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(43.5149, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0066, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0103, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4159222.7500, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7587, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 23 loss: tensor(1.4018, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6198, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(37.0716, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0066, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0065, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4346934., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7753, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 24 loss: tensor(1.3535, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6001, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(42.0545, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0062, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0128, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3908468.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7473, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 25 loss: tensor(1.3639, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6034, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(32.8980, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0061, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0107, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4108428., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7545, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 26 loss: tensor(1.3033, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.5816, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(37.0883, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0056, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0134, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3892463., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7161, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 27 loss: tensor(1.3757, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6000, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(43.4138, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0073, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0047, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4049042.7500, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7684, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 28 loss: tensor(1.3573, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.5959, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(43.1104, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0060, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0111, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3713040.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7554, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 29 loss: tensor(1.4035, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6031, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(41.7341, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0074, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0146, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3722904.7500, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7930, device='cuda:0', grad_fn=<MseLossBackward0>)
