epoch: 1 loss: tensor(1.2242, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.2242, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8.1704, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1277, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1087, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(113440.8125, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2327, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 2 loss: tensor(1.0397, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0397, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1374.4597, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7040, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1280, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(366246.5625, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0507, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 3 loss: tensor(0.9216, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9216, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(54370.2734, device='cuda:0', grad_fn=<MulBackward0>) tensor(8.6532, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0989, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1642947.7500, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9605, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 4 loss: tensor(0.8339, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8339, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(466.0687, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2350, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0768, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3402962.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8712, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 5 loss: tensor(0.7373, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7373, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3066.3848, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.6836, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0516, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3122103., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8511, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 6 loss: tensor(0.7369, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7369, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(11133.9639, device='cuda:0', grad_fn=<MulBackward0>) tensor(3.5607, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0700, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3903159.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8835, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 7 loss: tensor(0.7064, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7064, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(11173.5156, device='cuda:0', grad_fn=<MulBackward0>) tensor(3.5038, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0689, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4186472.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8745, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 8 loss: tensor(0.7486, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7486, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4299.8721, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.4881, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0698, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4210038., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9236, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 9 loss: tensor(0.7156, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7156, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5776.5947, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.3883, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0680, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3976273., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8984, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 10 loss: tensor(0.6745, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6745, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3904.9370, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.3021, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0503, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4516221., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8937, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 11 loss: tensor(0.6892, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6892, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1069.7662, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5599, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0543, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4571422., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9099, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 12 loss: tensor(0.6280, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6280, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(496.4267, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8817, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0447, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4537696., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8728, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 13 loss: tensor(0.7150, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7150, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1586.3496, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7379, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0473, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5322602.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9993, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 14 loss: tensor(0.6529, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6529, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(384.6464, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7612, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0384, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5587372., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9583, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 15 loss: tensor(0.6475, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6475, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(128.3237, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.2764, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0081, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(7246913.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0728, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 16 loss: tensor(0.6469, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6469, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(133.5086, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.3484, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0030, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(9218916., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2148, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 17 loss: tensor(0.6148, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6148, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(155.6122, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4077, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0055, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(12611490., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3544, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 18 loss: tensor(0.6194, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6194, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(188.0528, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4549, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0241, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(17215288., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.4651, device='cuda:0', grad_fn=<MseLossBackward0>)
