epoch: 1 loss: tensor(3.0935, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8381, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(27.0766, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0737, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1554, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1443998.2500, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1817, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 2 loss: tensor(3.0632, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8157, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(23.3336, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0698, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1502, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1182264.8750, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1777, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 3 loss: tensor(2.7157, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7436, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(23.8720, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9051, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9595, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1423643.7500, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0670, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 4 loss: tensor(2.5884, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7042, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(19.7741, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8798, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9575, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2553641.2500, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0045, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 5 loss: tensor(2.6785, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7172, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22.3316, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9949, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0194, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2624817.7500, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9664, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 6 loss: tensor(2.5938, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6824, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(19.6443, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9882, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0399, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2952867.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9231, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 7 loss: tensor(2.5753, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6943, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(17.0540, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9673, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0343, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3171301.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9137, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 8 loss: tensor(2.6689, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6809, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(16.6023, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0651, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1101, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3492269.7500, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9229, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 9 loss: tensor(2.6439, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6567, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(18.9787, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1002, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1394, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3374549.2500, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8870, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 10 loss: tensor(2.4710, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6618, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(16.4266, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9644, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0188, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3769109., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8448, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 11 loss: tensor(2.6886, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6828, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(15.0387, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1072, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1650, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3747021.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8986, device='cuda:0', grad_fn=<MseLossBackward0>)
