epoch: 1 loss: tensor(3.3444, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.2299, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(7.0891, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8843, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8751, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(117032.8281, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2302, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 2 loss: tensor(3.5076, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.2205, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5.7864, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0664, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0730, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(142548.0781, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2207, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 3 loss: tensor(3.1656, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.1352, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5.1419, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8950, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9020, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(168228.6094, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1354, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 4 loss: tensor(3.3018, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.1607, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4.9722, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9803, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9909, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(193605.7188, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1609, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 5 loss: tensor(3.3410, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.1908, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4.9468, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9593, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9805, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(218707.1562, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1910, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 6 loss: tensor(3.1029, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.1468, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4.9173, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8091, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8359, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(243110.1406, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1470, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 7 loss: tensor(3.4605, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.2071, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4.9473, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0460, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0775, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(266927.5938, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2073, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 8 loss: tensor(3.2720, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.1369, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5.0842, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9981, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0355, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(289500.7500, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1370, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 9 loss: tensor(3.2214, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.1005, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5.2701, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0204, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0664, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(310987.5312, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1006, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 10 loss: tensor(3.1846, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.1444, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5.7322, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8957, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9384, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(332356.1250, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1446, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 11 loss: tensor(3.2968, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.1278, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5.8047, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0411, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1060, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(351481.9688, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1279, device='cuda:0', grad_fn=<MseLossBackward0>)
