epoch: 1 loss: tensor(3.4841, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.1666, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.2799, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1671, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1525, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(838152.7500, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1504, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 2 loss: tensor(2.8890, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.9457, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.9110, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0004, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9982, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3234448., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9428, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 3 loss: tensor(2.7648, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.9668, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1275, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8726, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8742, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2945435.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9254, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 4 loss: tensor(2.7661, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.9216, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6209, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9751, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9738, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3524367.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8695, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 5 loss: tensor(2.6973, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8759, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.3774, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0038, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0027, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3539458., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8177, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 6 loss: tensor(2.7678, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8989, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2355, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0294, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0296, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3316631.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8395, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 7 loss: tensor(2.9074, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.9604, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1419, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0814, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0822, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4218383., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8656, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 8 loss: tensor(2.7775, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.9109, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0789, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0390, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0385, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3594890.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8276, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 9 loss: tensor(2.8483, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.9374, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0433, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0338, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0341, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3338543.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8772, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 10 loss: tensor(2.6702, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.9439, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0210, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8807, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8808, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3972314.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8456, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 11 loss: tensor(2.7813, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.9099, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0150, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0462, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0460, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4058115., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8253, device='cuda:0', grad_fn=<MseLossBackward0>)
