epoch: 1 loss: tensor(2.1558, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.9962, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5.0322, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1297, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1179, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4667974., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0300, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 2 loss: tensor(1.8203, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8528, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.6732, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1180, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1124, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3630326.2500, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8495, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 3 loss: tensor(1.7010, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8073, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.4342, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1107, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1070, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3493640.2500, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7830, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 4 loss: tensor(1.6305, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7707, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9786, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1165, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1149, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3552395.2500, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7432, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 5 loss: tensor(1.6494, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7707, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.2769, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1196, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1186, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3686022.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7591, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 6 loss: tensor(1.5874, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7168, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.7347, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1188, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1203, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4392591., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7518, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 7 loss: tensor(1.5968, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7069, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.6295, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1200, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1207, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4127946.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7699, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 8 loss: tensor(1.7462, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7710, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.9998, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1140, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1138, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4096726.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8612, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 9 loss: tensor(1.6950, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7415, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.6354, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1133, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1128, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4362390.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8402, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 10 loss: tensor(1.5735, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6937, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.4391, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1113, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1117, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4138251.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7685, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 11 loss: tensor(1.6874, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7351, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.2185, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1131, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1129, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4264525.5000, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8392, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 12 loss: tensor(1.5701, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6835, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.3169, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1204, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1205, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4196860., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7662, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 13 loss: tensor(1.5296, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6538, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.2270, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1220, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1222, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4540524., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7538, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 14 loss: tensor(1.5203, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6670, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0798, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1098, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1096, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4008857., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7435, device='cuda:0', grad_fn=<MseLossBackward0>)
