epoch: 1 loss: tensor(1.7400, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6606, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(400.8779, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.2065, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0348, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3672e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5521, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 2 loss: tensor(1.6875, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6477, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(413.3029, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.2012, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0408, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3780e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5080, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 3 loss: tensor(1.7996, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7067, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(428.0461, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.2053, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0411, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3758e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5452, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 4 loss: tensor(1.7000, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6853, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(404.6896, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1956, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0417, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3813e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4953, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 5 loss: tensor(1.7495, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7177, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(412.7449, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1956, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0400, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3829e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5060, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 6 loss: tensor(1.6854, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6559, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(427.7153, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1879, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0461, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3798e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4995, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 7 loss: tensor(1.7459, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6923, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(423.8818, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1930, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0411, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3782e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5215, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 8 loss: tensor(1.7200, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6945, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(404.8884, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.2025, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0324, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3755e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4991, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 9 loss: tensor(1.6999, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6730, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(386.0870, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.2238, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0397, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3803e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4942, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 10 loss: tensor(1.7228, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6965, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(385.5985, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.2184, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0390, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3763e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4994, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 11 loss: tensor(1.7266, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7050, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(400.1088, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1964, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0346, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3781e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5051, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 12 loss: tensor(1.6537, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6786, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(352.3775, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.2154, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0474, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3788e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4778, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 13 loss: tensor(1.7361, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7068, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(366.7025, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.2241, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0508, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3774e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5119, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 14 loss: tensor(1.6279, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6308, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(395.5714, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.2184, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0355, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3769e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4621, device='cuda:0', grad_fn=<MseLossBackward0>)
