epoch: 1 loss: tensor(1.2866, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.5858, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(970.9097, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0471, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0455, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3705e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5323, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 2 loss: tensor(1.2451, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.5793, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1015.3478, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0449, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0486, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3786e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4940, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 3 loss: tensor(1.2526, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.5852, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(994.2791, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0565, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0516, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3782e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4866, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 4 loss: tensor(1.1499, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.5368, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1020.0135, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0433, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0457, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3732e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4423, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 5 loss: tensor(1.3349, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6296, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1028.1368, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0485, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0425, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3820e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5283, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 6 loss: tensor(1.1640, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.5416, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1000.7507, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0537, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0423, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3768e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4436, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 7 loss: tensor(1.1644, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.5410, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1017.9233, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0446, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0429, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3717e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4515, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 8 loss: tensor(1.2395, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.5845, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1054.8159, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0498, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0430, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3790e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4734, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 9 loss: tensor(1.2996, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6131, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1091.0896, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0447, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0419, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3766e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5054, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 10 loss: tensor(1.2996, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6040, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1098.9360, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0462, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0466, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3769e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5120, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 11 loss: tensor(1.2101, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.5691, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1021.2045, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0570, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0478, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3799e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4564, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 12 loss: tensor(1.2473, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.5811, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1074.3822, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0425, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0395, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3705e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4894, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 13 loss: tensor(1.2719, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.5947, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1090.6687, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0486, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0366, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3808e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4923, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 14 loss: tensor(1.2512, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.5713, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1124.2393, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0463, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0419, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3776e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4930, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 15 loss: tensor(1.3547, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6301, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1119.5140, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0457, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0386, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3756e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5389, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 16 loss: tensor(1.2305, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.5576, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1117.0005, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0454, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0387, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3783e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4879, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 17 loss: tensor(1.2342, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.5742, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1113.9302, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0469, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0402, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3785e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4739, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 18 loss: tensor(1.2658, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.5843, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1126.8525, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0430, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0365, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3814e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4976, device='cuda:0', grad_fn=<MseLossBackward0>)
