epoch: 1 loss: tensor(3.3820, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8446, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5513.1826, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9821, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0068, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.8872e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8661, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 2 loss: tensor(3.1152, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7886, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5507.7012, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8672, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8626, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.2051e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7710, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 3 loss: tensor(3.3759, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8458, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5491.1934, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0558, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0515, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.2395e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7878, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 4 loss: tensor(3.3816, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8199, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5480.7715, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1247, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1535, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3171e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7518, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 5 loss: tensor(3.2013, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8031, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5476.3315, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9668, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9533, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3463e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7468, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 6 loss: tensor(3.2798, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8569, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5486.0586, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9765, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9841, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3437e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7607, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 7 loss: tensor(3.2653, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8140, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5487.2998, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0281, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0272, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3470e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7374, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 8 loss: tensor(3.1636, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7920, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5484.4668, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9950, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0022, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3514e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6911, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 9 loss: tensor(3.4071, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8611, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5477.8457, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0991, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1054, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3551e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7622, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 10 loss: tensor(3.3223, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8339, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5475.8477, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0528, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0326, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3497e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7511, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 11 loss: tensor(3.2363, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8475, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5491.7461, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9642, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9481, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3487e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7381, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 12 loss: tensor(3.1500, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8161, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5496.5166, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9437, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9713, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3515e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7032, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 13 loss: tensor(3.2941, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8512, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5497.4097, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0171, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0143, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3525e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7386, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 14 loss: tensor(3.1921, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8662, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5496.6660, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8935, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9158, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3535e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7453, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 15 loss: tensor(3.0923, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7950, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5489.6641, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9484, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9537, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3589e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6626, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 16 loss: tensor(3.3309, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8724, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5479.1133, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0333, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0135, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3608e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7403, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 17 loss: tensor(3.3952, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8892, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5493.0352, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0615, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0951, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3627e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7579, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 18 loss: tensor(3.2067, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8321, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5493.0029, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9743, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9665, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3551e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7137, device='cuda:0', grad_fn=<MseLossBackward0>)
