epoch: 1 loss: tensor(1.3161, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.5894, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1007.8109, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0557, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0494, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3696e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5451, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 2 loss: tensor(1.3026, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6009, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1065.7174, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0512, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0463, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3757e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5173, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 3 loss: tensor(1.2900, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6012, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1033.9456, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0589, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0453, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3783e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5006, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 4 loss: tensor(1.2474, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.5751, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1046.8984, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0460, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0495, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3756e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4955, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 5 loss: tensor(1.2788, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6111, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1040.0984, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0448, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0428, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3763e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4929, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 6 loss: tensor(1.2884, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.5992, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1074.4053, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0440, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0454, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3841e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5110, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 7 loss: tensor(1.2917, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6109, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1078.9106, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0453, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0473, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3812e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5007, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 8 loss: tensor(1.2139, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.5549, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1075.0479, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0510, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0417, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3777e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4735, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 9 loss: tensor(1.2000, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.5580, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1035.5420, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0548, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0438, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3764e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4578, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 10 loss: tensor(1.3064, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6044, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1134.1145, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0454, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0423, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3806e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5149, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 11 loss: tensor(1.3401, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6240, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1087.5667, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0526, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0502, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3793e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5276, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 12 loss: tensor(1.2704, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.5840, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1114.8872, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0482, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0430, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3827e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4987, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 13 loss: tensor(1.2995, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6094, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1082.0784, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0506, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0461, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3796e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5041, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 14 loss: tensor(1.2780, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.5941, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1113.7402, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0508, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0410, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3809e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4938, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 15 loss: tensor(1.3307, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6121, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1130.7772, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0459, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0404, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3768e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5313, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 16 loss: tensor(1.2148, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.5686, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1102.2672, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0451, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0389, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3804e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4633, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 17 loss: tensor(1.2841, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.5813, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1140.3990, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0484, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0412, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3754e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5117, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 18 loss: tensor(1.2836, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6002, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1115.5758, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0422, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0400, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3785e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5018, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 19 loss: tensor(1.2929, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.5892, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1095.8289, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0564, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0474, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3796e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5104, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 20 loss: tensor(1.2980, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.5999, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1161.7532, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0427, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0338, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3804e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5101, device='cuda:0', grad_fn=<MseLossBackward0>)
