epoch: 1 loss: tensor(0.6020, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6020, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3537.9800, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1411, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0618, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3668e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9751, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 2 loss: tensor(0.6018, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6018, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4414.7178, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1496, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0915, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3659e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0592, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 3 loss: tensor(0.5111, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5111, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5034.9888, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1035, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1065, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3662e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8867, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 4 loss: tensor(0.5772, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5772, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(6034.8765, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1250, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1200, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3695e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0663, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 5 loss: tensor(0.5183, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5183, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(6036.9453, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1324, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1294, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3659e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8734, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 6 loss: tensor(0.5853, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5853, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(7047.6221, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1988, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1341, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3676e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0520, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 7 loss: tensor(0.5329, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5329, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(6918.5059, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1274, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1147, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3697e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9728, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 8 loss: tensor(0.5454, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5454, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(7469.2129, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1257, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1357, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3729e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9936, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 9 loss: tensor(0.5272, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5272, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(7575.3545, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1352, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1212, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3764e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9668, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 10 loss: tensor(0.5479, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5479, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8019.4463, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1479, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1113, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3744e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0261, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 11 loss: tensor(0.5572, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5572, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8698.9580, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1828, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1092, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3761e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0559, device='cuda:0', grad_fn=<MseLossBackward0>)
