epoch: 1 loss: tensor(1.0374, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0374, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(138427.2812, device='cuda:0', grad_fn=<MulBackward0>) tensor(387.6078, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(32.7105, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.8052e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2279, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 2 loss: tensor(0.8415, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8415, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(64671.5938, device='cuda:0', grad_fn=<MulBackward0>) tensor(179.3186, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8.8579, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.2203e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0642, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 3 loss: tensor(0.8253, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8253, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(29999.3379, device='cuda:0', grad_fn=<MulBackward0>) tensor(65.2181, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.8681, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.3697e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0578, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 4 loss: tensor(0.7271, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7271, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(17313.0391, device='cuda:0', grad_fn=<MulBackward0>) tensor(29.5561, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5352, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.3852e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9499, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 5 loss: tensor(0.6554, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6554, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(15580.4102, device='cuda:0', grad_fn=<MulBackward0>) tensor(19.5861, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.3974, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.4847e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8816, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 6 loss: tensor(0.6556, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6556, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(16535.0938, device='cuda:0', grad_fn=<MulBackward0>) tensor(20.9958, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7918, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.5267e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0106, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 7 loss: tensor(0.5832, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5832, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(15340.2031, device='cuda:0', grad_fn=<MulBackward0>) tensor(16.2808, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6144, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.5310e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9626, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 8 loss: tensor(0.5980, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5980, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(17168.9082, device='cuda:0', grad_fn=<MulBackward0>) tensor(20.4787, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1973, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.4925e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0667, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 9 loss: tensor(0.5721, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5721, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(16852.7109, device='cuda:0', grad_fn=<MulBackward0>) tensor(17.5751, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4639, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.4976e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0649, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 10 loss: tensor(0.5214, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5214, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(17031.9902, device='cuda:0', grad_fn=<MulBackward0>) tensor(17.0676, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4929, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.5458e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0267, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 11 loss: tensor(0.5749, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5749, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(19982.3711, device='cuda:0', grad_fn=<MulBackward0>) tensor(26.0841, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1650, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.5601e+08, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2074, device='cuda:0', grad_fn=<MseLossBackward0>)
