epoch: 1 loss: tensor(214.9493, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3470, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(214.9493, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5990, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1574, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283406., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3470, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 2 loss: tensor(199.8995, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0717, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(199.8995, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9228, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1410, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283580., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0718, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 3 loss: tensor(198.4301, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0066, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(198.4301, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9276, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1413, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283612., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0067, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 4 loss: tensor(197.8544, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9805, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.8544, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7557, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1447, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24284248., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9805, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 5 loss: tensor(197.2648, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3081, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.2648, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0160, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0894, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283982., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3081, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 6 loss: tensor(197.2035, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2672, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.2035, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1455, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1584, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283550., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2672, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 7 loss: tensor(197.2991, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0673, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.2991, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9988, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2120, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283418., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0673, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 8 loss: tensor(197.2008, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1275, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.2008, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6748, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1737, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283128., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1275, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 9 loss: tensor(197.2293, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9694, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.2293, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0775, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1955, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283588., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9694, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 10 loss: tensor(197.1948, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2024, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1948, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9600, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1875, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283392., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2024, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 11 loss: tensor(197.1595, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3042, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1595, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8721, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2434, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(24283144., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3042, device='cuda:0', grad_fn=<MseLossBackward0>)
