epoch: 1 loss: tensor(221.4520, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8341, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(221.4520, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0401, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.6167, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22030574., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8342, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 2 loss: tensor(204.7757, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3103, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(204.7757, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9182, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1701, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22030748., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3104, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 3 loss: tensor(199.4445, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0760, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(199.4445, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1032, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6738, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22030500., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0761, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 4 loss: tensor(197.8106, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0671, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.8106, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2051, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9116, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22030634., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0671, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 5 loss: tensor(197.3139, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2736, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.3139, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0487, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8488, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22030736., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2737, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 6 loss: tensor(197.1597, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9722, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1597, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8259, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0803, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22030328., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9724, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 7 loss: tensor(197.1421, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1114, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1421, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1176, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9633, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22030616., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1114, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 8 loss: tensor(197.1353, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0189, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1353, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8938, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1255, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22030490., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0190, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 9 loss: tensor(197.1430, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0904, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1430, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8869, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8374, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22030588., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0904, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 10 loss: tensor(197.1303, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1489, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1303, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0044, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9857, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22030550., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1489, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 11 loss: tensor(197.1327, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3083, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1327, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8917, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1503, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22030878., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3084, device='cuda:0', grad_fn=<MseLossBackward0>)
