epoch: 1 loss: tensor(1.7634, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8815, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(673.8962, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1493, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1274, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(29941990., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8819, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 2 loss: tensor(1.2858, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6297, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1082.9818, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9234, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1167, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30062368., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6561, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 3 loss: tensor(1.4203, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6833, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1274.6384, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8567, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1625, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(29963416., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7370, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 4 loss: tensor(1.2638, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.5515, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1485.4241, device='cuda:0', grad_fn=<MulBackward0>) tensor(4.8243, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2947, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30088002., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7123, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 5 loss: tensor(1.5754, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7218, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1420.2832, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.9301, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1738, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30055640., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8536, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 6 loss: tensor(0.8495, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.4013, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1408.8931, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2763, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4721, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30049406., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4482, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 7 loss: tensor(1.1991, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.5262, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1524.7432, device='cuda:0', grad_fn=<MulBackward0>) tensor(4.6835, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4884, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30034748., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6730, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 8 loss: tensor(1.2561, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.5002, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1649.9094, device='cuda:0', grad_fn=<MulBackward0>) tensor(7.1167, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4123, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30053884., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7560, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 9 loss: tensor(1.7004, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.7177, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1616.5341, device='cuda:0', grad_fn=<MulBackward0>) tensor(6.6436, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4993, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30021532., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9827, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 10 loss: tensor(1.2884, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.5642, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1561.2825, device='cuda:0', grad_fn=<MulBackward0>) tensor(5.5983, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5920, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30018432., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7242, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 11 loss: tensor(1.1894, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.5363, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1472.5699, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.9255, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5879, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30053444., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6531, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 12 loss: tensor(1.4096, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.6104, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1510.0520, device='cuda:0', grad_fn=<MulBackward0>) tensor(3.4691, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4921, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30132616., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7992, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 13 loss: tensor(1.3096, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.5324, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1647.5647, device='cuda:0', grad_fn=<MulBackward0>) tensor(7.0472, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4588, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30045998., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7772, device='cuda:0', grad_fn=<MseLossBackward0>)
