epoch: 1 loss: tensor(1.0181, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.4827, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1405.9100, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7708, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4949, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30250946., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5355, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 2 loss: tensor(0.6909, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.2966, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1401.3945, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6849, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4760, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30273350., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.3943, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 3 loss: tensor(0.7342, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.3238, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1405.3798, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7755, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5306, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30205140., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4103, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 4 loss: tensor(0.9765, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.4612, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1428.5739, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3563, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7084, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30322164., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5154, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 5 loss: tensor(0.9339, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.4144, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1439.0144, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6377, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8432, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30260862., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5195, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 6 loss: tensor(0.9464, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.4218, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1421.7617, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1696, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6958, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30329120., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5246, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 7 loss: tensor(0.9419, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.4051, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1395.9561, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5525, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4266, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30214392., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5369, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 8 loss: tensor(0.8622, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.3734, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1413.0293, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9686, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4745, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30259364., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4889, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 9 loss: tensor(0.7031, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.3163, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1423.5063, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2523, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7263, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30251642., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.3868, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 10 loss: tensor(0.8083, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.3564, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1423.7087, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2609, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7986, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30280144., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4519, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 11 loss: tensor(0.8925, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.3981, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1430.5044, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.4154, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7017, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30288996., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4944, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 12 loss: tensor(0.8333, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.4015, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1395.6873, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5220, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.3660, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30395826., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4318, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 13 loss: tensor(0.8828, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.4094, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1406.1133, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7802, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4490, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30268684., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4733, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 14 loss: tensor(0.8385, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.3814, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1404.5388, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7420, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5332, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30301640., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4571, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 15 loss: tensor(0.9361, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.4334, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1407.7678, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8200, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4971, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30236294., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5027, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 16 loss: tensor(0.6250, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.2591, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1426.8853, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3388, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6872, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30157304., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.3659, device='cuda:0', grad_fn=<MseLossBackward0>)
