epoch: 1 loss: tensor(0.8223, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8223, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1379.8925, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1089, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1089, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30065468., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6852, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 2 loss: tensor(0.7642, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7642, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1379.8925, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1017, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1017, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30050214., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6664, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 3 loss: tensor(0.6877, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6877, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1379.8925, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1175, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1175, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30043962., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5741, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 4 loss: tensor(0.8051, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8051, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1379.8925, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1021, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1021, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30082144., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7616, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 5 loss: tensor(0.7919, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7919, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1379.8925, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1094, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1094, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30093160., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7305, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 6 loss: tensor(0.7633, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7633, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1379.8925, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1014, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1014, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30039156., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6546, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 7 loss: tensor(0.7158, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7158, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1379.8925, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1074, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1074, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30071982., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6239, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 8 loss: tensor(0.9064, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9064, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1379.8925, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1218, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1218, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30074346., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8406, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 9 loss: tensor(0.7257, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7257, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1379.8925, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1024, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1024, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30035494., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7421, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 10 loss: tensor(0.9305, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9305, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1379.8925, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1081, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1081, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30078680., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9617, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 11 loss: tensor(0.9236, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9236, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1379.8925, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0667, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0667, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30062952., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8884, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 12 loss: tensor(0.9162, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9162, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1379.8925, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1302, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1302, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30110876., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8937, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 13 loss: tensor(0.7300, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7300, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1379.8925, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0841, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0841, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30091824., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7274, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 14 loss: tensor(0.8468, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8468, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1379.8925, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1209, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1209, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30143372., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8007, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 15 loss: tensor(0.8186, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8186, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1379.8925, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1283, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1283, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30088632., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8332, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 16 loss: tensor(0.8478, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8478, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1379.8925, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0975, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0975, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30106452., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8488, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 17 loss: tensor(0.6926, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6926, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1379.8925, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1219, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1219, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30089130., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6811, device='cuda:0', grad_fn=<MseLossBackward0>)
