
epoch: 1 loss: tensor(1.1037, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0406, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1037, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1037, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(28027980., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9496, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(1.2265, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0845, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2265, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.2265, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(28570646., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0355, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(67.5996, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8154, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1725.3774, device='cuda:0', grad_fn=<MulBackward0>) tensor(33.4287, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(67.5996, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4877182., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8096, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(1.3324, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0393, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3207, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.3324, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(20211000., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0329, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 2 loss: tensor(1.1471, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1001, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1471, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1471, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21042668., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0951, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 3 loss: tensor(0.8929, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9268, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8929, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8929, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21085612., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9223, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 4 loss: tensor(0.6800, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0532, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6800, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6800, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21124926., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0487, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 5 loss: tensor(0.8778, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.2255, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8778, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8778, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21094648., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2211, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 6 loss: tensor(1.2418, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1426, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2418, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.2418, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21117568., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1378, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 7 loss: tensor(1.0720, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.2340, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0720, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0720, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21071748., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2295, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 8 loss: tensor(0.8750, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1278, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8750, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8750, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21158062., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1233, device='cuda:0', grad_fn=<MseLossBackward0>)
