epoch: 1 loss: tensor(402.3177, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1921, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(402.3177, device='cuda:0', grad_fn=<MulBackward0>) tensor(3.8459, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1512.8705, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(16055445., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1500, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 2 loss: tensor(398.6509, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0277, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(398.6509, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5099, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1560.3417, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(16025616., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9871, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 3 loss: tensor(397.8538, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9101, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(397.8538, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1919, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2189.6748, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(16018125., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8626, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 4 loss: tensor(397.7097, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9673, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(397.7097, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.4608, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1989.0129, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(16035556., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9363, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 5 loss: tensor(397.6710, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8991, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(397.6710, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0153, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4364.2686, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(16025144., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8667, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 6 loss: tensor(397.6224, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0542, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(397.6224, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2851, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4528.1982, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(16020658., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0395, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 7 loss: tensor(397.6330, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8184, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(397.6330, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6362, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3633.8997, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(16017879., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7893, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 8 loss: tensor(397.6177, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8904, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(397.6177, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7467, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3802.0308, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(16016162., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8662, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 9 loss: tensor(397.6058, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9549, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(397.6058, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8317, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4057.9221, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(16023196., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9117, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 10 loss: tensor(397.6028, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1574, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(397.6028, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9100, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5580.4199, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(16011633., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1289, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 11 loss: tensor(397.6201, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1691, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(397.6201, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3163, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4959.6616, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(16020432., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1303, device='cuda:0', grad_fn=<MseLossBackward0>)
