epoch: 1 loss: tensor(3.7662, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.9960, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9060, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9060, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(28481164., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9582, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 2 loss: tensor(4.0665, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0489, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0070, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0070, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(28547094., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0036, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 3 loss: tensor(4.4421, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.1752, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0713, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0713, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(28824044., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1243, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 4 loss: tensor(3.4367, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.9988, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7690, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7690, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(28607766., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8999, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 5 loss: tensor(3.2948, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0456, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6228, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6228, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(29383486., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0035, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 6 loss: tensor(4.7802, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.9762, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.4731, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.4731, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(29044384., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8579, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 7 loss: tensor(4.1088, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0753, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0154, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0154, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(29023576., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0026, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 8 loss: tensor(4.8849, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.9101, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5628, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.5628, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(29403038., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8492, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 9 loss: tensor(3.8386, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0489, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8935, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8935, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(29755944., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0027, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 10 loss: tensor(4.8083, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.2142, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2221, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.2221, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(29793642., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1499, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 11 loss: tensor(4.3483, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0150, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1797, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1797, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(29952120., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9740, device='cuda:0', grad_fn=<MseLossBackward0>)
