epoch: 1 loss: tensor(0.9505, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9523, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3224.7827, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0774, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(81.6839, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30462984., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9505, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 2 loss: tensor(0.9236, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9254, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3227.6477, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0145, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(93.5218, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30439104., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9236, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 3 loss: tensor(1.0250, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0268, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3226.8291, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9441, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(76.2482, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30440686., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0250, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 4 loss: tensor(0.8896, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8913, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3227.8267, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0280, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(92.0236, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30510602., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8896, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 5 loss: tensor(0.9562, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9581, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3227.4336, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9167, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(86.5722, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30542732., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9562, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 6 loss: tensor(1.0598, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0617, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3224.2661, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0589, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(89.9923, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30645852., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0598, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 7 loss: tensor(0.9884, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9908, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3225.7393, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9959, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(95.6307, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(30866498., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9884, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 8 loss: tensor(1.0303, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0328, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3226.5979, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0664, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(90.1036, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(31339296., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0303, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 9 loss: tensor(0.9402, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9443, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3228.6016, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0102, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(94.9173, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(31718194., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9402, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 10 loss: tensor(0.9924, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9964, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3226.2014, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9636, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(88.8322, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(32521806., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9924, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 11 loss: tensor(0.9846, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9902, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3227.0542, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9010, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(81.1504, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(33492804., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9846, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 12 loss: tensor(1.0250, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0381, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3224.8003, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1149, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(85.3323, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(35659804., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0250, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 13 loss: tensor(1.0657, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0907, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3225.1396, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9968, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(75.2596, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(39481288., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0657, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 14 loss: tensor(1.0783, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1330, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3226.3389, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0599, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(74.6657, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(43538600., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0783, device='cuda:0', grad_fn=<MseLossBackward0>)
