epoch: 1 loss: tensor(0.6898, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0451, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1995.0674, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7785, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6898, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68605904., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9325, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 2 loss: tensor(0.5628, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9738, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2132.1436, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6265, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5628, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68611240., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8680, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 3 loss: tensor(0.5154, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8181, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1798.1824, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5745, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5154, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68612128., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7233, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 4 loss: tensor(0.6297, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9835, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2154.9141, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6529, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6297, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68692208., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9238, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 5 loss: tensor(0.4390, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8299, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1709.9290, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4755, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4390, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68585848., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7367, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 6 loss: tensor(0.4396, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9424, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2156.9937, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4677, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4396, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68749296., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8744, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 7 loss: tensor(0.3951, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9206, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2059.1074, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4249, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.3951, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68657968., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7772, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 8 loss: tensor(0.7095, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9111, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1840.4719, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7460, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7095, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68605288., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8163, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 9 loss: tensor(0.4880, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9853, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2060.8955, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5138, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4880, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68620400., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8832, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 10 loss: tensor(0.5568, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0632, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2277.7246, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6275, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5568, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68634064., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9879, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 11 loss: tensor(0.5888, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9435, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2056.6016, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6341, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5888, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68705424., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8332, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 12 loss: tensor(0.6812, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0201, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2223.9207, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7255, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6812, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68654400., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9248, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 13 loss: tensor(0.5311, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9389, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2130.0776, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5688, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5311, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68675848., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8447, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 14 loss: tensor(0.7464, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9957, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1939.3501, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7808, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7464, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68645296., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8687, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 15 loss: tensor(0.4757, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9469, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1799.0894, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5359, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4757, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68608936., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8521, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 16 loss: tensor(0.6048, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9344, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2038.7362, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6460, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6048, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68654728., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8168, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 17 loss: tensor(0.4142, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8980, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2006.5493, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4866, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4142, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68704944., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8199, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 18 loss: tensor(0.4600, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9560, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2073.7910, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4937, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4600, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68645312., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8787, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 19 loss: tensor(0.6108, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9727, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2128.7327, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6538, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6108, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68738232., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8666, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 20 loss: tensor(0.5393, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9035, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2105.6448, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6059, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5393, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68766320., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8201, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 21 loss: tensor(0.3511, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8969, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1909.8123, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4422, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.3511, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68700032., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8211, device='cuda:0', grad_fn=<MseLossBackward0>)
