epoch: 1 loss: tensor(3.6316, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0137, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3143.7056, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8021, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8021, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68249136., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0137, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 2 loss: tensor(3.9823, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.9879, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3143.7056, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0033, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0033, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68249136., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9879, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 3 loss: tensor(4.2322, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0943, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3143.7056, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0218, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0218, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68249136., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0943, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 4 loss: tensor(3.6539, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8963, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3143.7056, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9306, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9306, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68249136., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8963, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 5 loss: tensor(3.3300, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.9946, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3143.7056, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6704, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6704, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68249136., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9946, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 6 loss: tensor(4.2375, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0286, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3143.7056, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0901, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0901, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68249136., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0286, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 7 loss: tensor(3.6416, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.9193, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3143.7056, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9015, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9015, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68249136., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9193, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 8 loss: tensor(3.5428, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8661, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3143.7056, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9053, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9053, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68249136., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8661, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 9 loss: tensor(3.9474, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0269, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3143.7056, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9468, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9468, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68249136., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0269, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 10 loss: tensor(3.9181, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8856, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3143.7056, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0734, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0734, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68249136., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8856, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 11 loss: tensor(3.6364, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.9698, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3143.7056, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8484, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8484, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68249136., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9698, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 12 loss: tensor(3.8919, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8967, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3143.7056, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0492, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0492, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68249136., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8967, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 13 loss: tensor(3.7085, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.9595, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3143.7056, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8948, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8948, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68249136., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9595, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 14 loss: tensor(3.4129, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.9615, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3143.7056, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7449, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7449, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68249136., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9615, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 15 loss: tensor(3.8827, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.9109, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3143.7056, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0304, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0304, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68249136., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9109, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 16 loss: tensor(4.4914, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.0721, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3143.7056, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1735, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1735, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68249136., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0721, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 17 loss: tensor(4.1067, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.9938, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3143.7056, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0596, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0596, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68249136., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9938, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 18 loss: tensor(4.7649, device='cuda:0', grad_fn=<AddBackward0>) tensor(1.1036, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3143.7056, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2788, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.2788, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68249136., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1036, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 19 loss: tensor(3.7863, device='cuda:0', grad_fn=<AddBackward0>) tensor(0.8573, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3143.7056, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0358, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0358, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(68249136., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8573, device='cuda:0', grad_fn=<MseLossBackward0>)
