epoch: 1 loss: tensor(0.8013, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8552, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2851.0845, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8013, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.6240, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9249, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 2 loss: tensor(0.7520, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7839, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2763.6665, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7520, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.2263, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8662, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 3 loss: tensor(0.8032, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8042, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2812.2932, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8032, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(25.6467, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9195, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 4 loss: tensor(0.7455, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8874, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2694.6184, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7455, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.2021, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0617, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 5 loss: tensor(0.6446, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8538, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2754.9009, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6446, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9366, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9490, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 6 loss: tensor(0.6795, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9451, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2688.5376, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6795, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(10.5515, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0826, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 7 loss: tensor(0.7614, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7905, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2756.6511, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7614, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.8931, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8806, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 8 loss: tensor(0.7520, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9116, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2741.4429, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7520, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.4883, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0673, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 9 loss: tensor(0.8325, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7712, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2835.1431, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8325, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(28.1316, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9098, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 10 loss: tensor(0.6124, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8541, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2766.9810, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6124, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(12.5329, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1022, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 11 loss: tensor(0.8368, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8358, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2860.4465, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8368, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(7.0383, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9267, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 12 loss: tensor(1.1325, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9440, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2919.2053, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1325, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(18.8322, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1587, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 13 loss: tensor(0.8702, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7845, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2978.0603, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8702, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(19.6297, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0574, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 14 loss: tensor(0.8401, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7181, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2959.5076, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8401, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(57.2876, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0506, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 15 loss: tensor(0.8888, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8190, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2896.5850, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8888, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(18.3078, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0786, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 16 loss: tensor(0.5885, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8113, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2911.1646, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5885, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.4445, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9534, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 17 loss: tensor(0.7489, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7731, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3014.3667, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7489, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7985, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0844, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 18 loss: tensor(0.6803, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7231, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2990.6995, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6803, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.3268, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0152, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 19 loss: tensor(0.8323, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6400, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2957.0823, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8323, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5.6545, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8780, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 20 loss: tensor(0.7846, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8728, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3062.8298, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7846, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(17.9956, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2383, device='cuda:0', grad_fn=<MseLossBackward0>)
