epoch: 1 loss: tensor(0.9591, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8448, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(6626.1367, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9591, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(7.1281, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8957, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 2 loss: tensor(0.9918, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9207, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(6693.4917, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9918, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(14.6015, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9857, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 3 loss: tensor(1.1136, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9692, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(7246.5244, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1136, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(15.3590, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0348, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 4 loss: tensor(0.9022, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9310, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(7470.8262, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9022, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(12.2841, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0298, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 5 loss: tensor(0.9348, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8766, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(7127.1626, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9348, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(9.6223, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0062, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 6 loss: tensor(0.9567, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9068, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(7218.2520, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9567, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(15.4313, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0378, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 7 loss: tensor(0.9744, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8650, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(7108.5713, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9744, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(7.7469, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0492, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 8 loss: tensor(0.7803, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7957, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(6856.4341, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7803, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21.2782, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0153, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 9 loss: tensor(0.8772, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7491, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(7410.1211, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8772, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(26.5778, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9005, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 10 loss: tensor(1.0274, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8306, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(7604.1123, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0274, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(19.7051, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0680, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 11 loss: tensor(0.7967, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8529, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(7755.6201, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7967, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(17.1815, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0781, device='cuda:0', grad_fn=<MseLossBackward0>)
