epoch: 1 loss: tensor(0.3316, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.4949, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.3316, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.2140, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3238, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 2 loss: tensor(0.3551, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.9559, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.3551, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9748, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7842, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 3 loss: tensor(0.3371, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.5162, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.3371, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9480, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3881, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 4 loss: tensor(0.2635, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.6760, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.2635, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7473, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5415, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 5 loss: tensor(0.3214, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.5784, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.3214, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8052, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.4775, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 6 loss: tensor(0.2018, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.4565, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.2018, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6985, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3752, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 7 loss: tensor(0.2434, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.3178, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.2434, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7133, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1926, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 8 loss: tensor(0.2418, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.3003, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.2418, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8091, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2324, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 9 loss: tensor(0.1887, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1649, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1887, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7642, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1357, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 10 loss: tensor(0.1516, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.2811, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1516, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6221, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2785, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 11 loss: tensor(0.2023, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.2864, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.2023, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6915, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2634, device='cuda:0', grad_fn=<MseLossBackward0>)
