epoch: 1 loss: tensor(2.1470, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.5074, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.1470, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0774, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5473, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 2 loss: tensor(0.6159, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9138, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6159, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1461, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6872, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 3 loss: tensor(0.7121, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5141, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7121, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8342, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4421, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 4 loss: tensor(2.1470, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.4768, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.1470, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9877, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5473, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 5 loss: tensor(3.9017, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.4613, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(3.9017, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.6245, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8334, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 6 loss: tensor(0.7238, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4399, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7238, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4865, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5848, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 7 loss: tensor(0.4961, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4656, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4961, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0450, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5624, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 8 loss: tensor(0.4383, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6239, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4383, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2945, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.3370, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 9 loss: tensor(3.3534, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5871, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(3.3534, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5751, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0713, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 10 loss: tensor(0.2980, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5065, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.2980, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4964, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4914, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 11 loss: tensor(1.5656, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0235, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5656, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1479, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6390, device='cuda:0', grad_fn=<MseLossBackward0>)
