epoch: 1 loss: tensor(1.3746, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0288, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3746, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(29.9068, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9497, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 2 loss: tensor(1.6669, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.3320, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6669, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(72.0957, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2074, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 3 loss: tensor(1.6036, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.7205, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6036, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(207.9963, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5292, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 4 loss: tensor(0.8423, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.9611, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8423, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(95.4761, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7282, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 5 loss: tensor(0.1061, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.2956, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1061, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(35.6363, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0597, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 6 loss: tensor(1.1621, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.8900, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1621, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(76.5732, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7379, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 7 loss: tensor(0.3054, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1541, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.3054, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22.7074, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0661, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 8 loss: tensor(1.2702, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.4855, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2702, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(182.4893, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.3286, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 9 loss: tensor(1.1222, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1214, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1222, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(38.5796, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9550, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 10 loss: tensor(0.3516, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0859, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.3516, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(7.6821, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9988, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 11 loss: tensor(0.8136, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.8385, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8136, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(43.6238, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6178, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 12 loss: tensor(1.2877, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0270, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2877, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(242.7525, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8916, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 13 loss: tensor(0.4486, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0511, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4486, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(51.7518, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9757, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 14 loss: tensor(1.7552, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.6881, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7552, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(85.3602, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5580, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 15 loss: tensor(2.0784, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.8986, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.0784, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(94.1857, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6078, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 16 loss: tensor(0.3073, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1359, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.3073, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(40.9738, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9730, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 17 loss: tensor(0.8136, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.8757, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8136, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(40.3642, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6178, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 18 loss: tensor(1.2451, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1290, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2451, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(179.2386, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9970, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 19 loss: tensor(0.1606, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1366, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1606, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(25.8663, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0096, device='cuda:0', grad_fn=<MseLossBackward0>)
