epoch: 1 loss: tensor(0.6054, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.7554, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6054, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(123.5704, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5605, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 2 loss: tensor(0.3949, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.9058, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.3949, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(423.0112, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6870, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 3 loss: tensor(0.4092, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.8628, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4092, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(335.7553, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6642, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 4 loss: tensor(0.7539, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.7064, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7539, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(261.8871, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5238, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 5 loss: tensor(0.3967, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.8236, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.3967, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(271.8688, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6485, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 6 loss: tensor(0.3246, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.7115, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.3246, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(473.1378, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5192, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 7 loss: tensor(0.3863, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.4851, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.3863, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(413.8297, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3453, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 8 loss: tensor(0.4355, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.7051, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4355, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(602.3154, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5388, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 9 loss: tensor(0.2432, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.6364, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.2432, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(370.4988, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.4420, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 10 loss: tensor(0.2333, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.4697, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.2333, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(421.7191, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2997, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 11 loss: tensor(0.3571, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.6988, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.3571, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(384.0652, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5178, device='cuda:0', grad_fn=<MseLossBackward0>)
