epoch: 1 loss: tensor(1.6560, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.8225, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6560, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(193.8514, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6902, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(2.7333, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.9190, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.7333, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(218.4680, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6947, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(3.6440, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.7195, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(3.6440, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(368.7609, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5715, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(0.3330, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.2045, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.3330, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(70.1833, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0367, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(0.9450, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.2891, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9450, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(210.7250, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.0863, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(1.0456, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.9000, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0456, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(37.6558, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6655, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(0.2134, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1830, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.2134, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(20.4671, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9539, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(1.9694, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.6666, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.9694, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(245.0485, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5441, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(0.7412, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1351, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7412, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(499.3299, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9253, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(1.3043, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.0925, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3043, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(359.7119, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8711, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(2.3418, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0872, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.3418, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(921.5461, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8911, device='cuda:0', grad_fn=<MseLossBackward0>)
