epoch: 1 loss: tensor(0.7922, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.6934, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7922, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(10.1667, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6167, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 2 loss: tensor(1.1138, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.8345, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1138, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(7.1877, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7688, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 3 loss: tensor(0.8228, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.5752, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8228, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.5155, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5136, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 4 loss: tensor(0.7433, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.4738, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7433, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.4848, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.4928, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 5 loss: tensor(1.0277, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.5620, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0277, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.4561, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.4873, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 6 loss: tensor(0.8147, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.5791, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8147, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1135, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5494, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 7 loss: tensor(0.7557, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.5599, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7557, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9013, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5431, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 8 loss: tensor(1.1008, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.6704, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1008, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.2725, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6247, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 9 loss: tensor(1.0402, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.3683, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0402, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1989, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3441, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 10 loss: tensor(0.8237, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.3984, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8237, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9881, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.4501, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 11 loss: tensor(0.8783, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.4759, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8783, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8996, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.4925, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 12 loss: tensor(0.9426, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.4257, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9426, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0219, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3515, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 13 loss: tensor(1.5300, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.6304, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5300, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.5030, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6313, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 14 loss: tensor(0.9293, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.3155, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9293, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0952, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.4075, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 15 loss: tensor(1.2532, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.2281, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2532, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.7154, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2712, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 16 loss: tensor(0.9684, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.2739, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9684, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9482, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3109, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 17 loss: tensor(0.9103, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.4835, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9103, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9598, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5713, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 18 loss: tensor(0.9104, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.2720, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9104, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9195, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2812, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 19 loss: tensor(0.9237, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.2112, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9237, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9845, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3412, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 20 loss: tensor(1.0314, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.2291, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0314, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8815, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2568, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 21 loss: tensor(1.2857, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.4941, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2857, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.3225, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5555, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 22 loss: tensor(1.0412, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.6075, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0412, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0273, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7323, device='cuda:0', grad_fn=<MseLossBackward0>)
