epoch: 1 loss: tensor(26.6291, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6871, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(26.6291, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0768, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.1671, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(22.8440, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.3511, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(22.8440, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1589, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8347, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(52.8736, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8291, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(52.8736, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1273, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.9997, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(29.1572, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5885, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(29.1572, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2479, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8912, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(37.3852, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7133, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(37.3852, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7498, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.2289, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(65.9063, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9884, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(65.9063, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9763, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(3.3336, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(54.1015, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7105, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(54.1015, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9743, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7830, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(74.7228, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8936, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(74.7228, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1492, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.8007, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(43.8178, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7786, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(43.8178, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2313, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.1790, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(19.2797, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7944, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(19.2797, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.3880, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5847, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(57.5969, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9664, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(57.5969, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.3680, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.9791, device='cuda:0', grad_fn=<MseLossBackward0>)
