epoch: 1 loss: tensor(1.3077, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.4366, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3077, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(452.5234, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3149, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 2 loss: tensor(1.0369, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0372, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0369, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(424.4888, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0868, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 3 loss: tensor(1.3984, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8516, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3984, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1263.0120, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9542, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 4 loss: tensor(1.5468, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9855, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5468, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2799.6218, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0771, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 5 loss: tensor(1.3461, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8576, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3461, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8566.0996, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9726, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 6 loss: tensor(1.3985, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9452, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3985, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(10378.0303, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1868, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 7 loss: tensor(1.6113, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9592, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6113, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(10675.7607, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2200, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 8 loss: tensor(2.3514, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9965, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.3514, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8776.5293, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2054, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 9 loss: tensor(2.1096, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9153, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.1096, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3854.3274, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1739, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 10 loss: tensor(3.7933, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9387, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(3.7933, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4282.2266, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2870, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 11 loss: tensor(6.9688, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8372, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(6.9688, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4408.2314, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1936, device='cuda:0', grad_fn=<MseLossBackward0>)
