epoch: 1 loss: tensor(876.4319, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0641, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(876.4319, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(387.9861, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1661, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 2 loss: tensor(750.9556, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0001, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(750.9556, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1276.9667, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0452, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 3 loss: tensor(803.2919, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7712, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(803.2919, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1759.2009, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9411, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 4 loss: tensor(849.0406, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8264, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(849.0406, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(9800.6133, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0203, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 5 loss: tensor(846.9290, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7853, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(846.9290, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5396.1416, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0621, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 6 loss: tensor(943.2119, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7981, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(943.2119, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(12395.7227, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0493, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 7 loss: tensor(1028.7428, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8741, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1028.7428, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(29347.2949, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1769, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 8 loss: tensor(1212.4325, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9708, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1212.4325, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21165.5898, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1564, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 9 loss: tensor(1119.1118, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9998, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1119.1118, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(20991.3105, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3189, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 10 loss: tensor(1750.8281, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8081, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1750.8281, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(14841.4307, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0267, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 11 loss: tensor(1330.5104, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6407, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1330.5104, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1128.0934, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0372, device='cuda:0', grad_fn=<MseLossBackward0>)
