epoch: 1 loss: tensor(790.3806, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1712, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(790.3806, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(593.9983, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1931, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 2 loss: tensor(404.8050, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1157, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(404.8050, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(208.0871, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1239, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 3 loss: tensor(83.6602, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0079, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(83.6602, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1008.4705, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9881, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 4 loss: tensor(37.3981, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9125, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(37.3981, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1786.6580, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9091, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 5 loss: tensor(7.8512, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1850, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(7.8512, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1770.1902, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1838, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 6 loss: tensor(4.5153, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1402, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(4.5153, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(980.1871, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1360, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 7 loss: tensor(4.4618, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9934, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(4.4618, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1652.3370, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9937, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 8 loss: tensor(6.9948, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9068, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(6.9948, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4158.1514, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8986, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 9 loss: tensor(5.6018, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9263, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(5.6018, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(753.4562, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9114, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 10 loss: tensor(1.8268, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9376, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8268, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1425.9293, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9383, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 11 loss: tensor(3.1920, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1182, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(3.1920, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(983.4167, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0994, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 12 loss: tensor(2.7548, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1312, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.7548, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(920.8273, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1495, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 13 loss: tensor(3.0242, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0507, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(3.0242, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1541.0837, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0427, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 14 loss: tensor(1.5303, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9029, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5303, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1803.8466, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8995, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 15 loss: tensor(2.2458, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.2082, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.2458, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(669.1111, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2000, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 16 loss: tensor(2.2060, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8021, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.2060, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(934.9561, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7999, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 17 loss: tensor(1.5160, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9771, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5160, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1113.5426, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9696, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 18 loss: tensor(1.5666, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0083, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5666, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2695.4807, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0028, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 19 loss: tensor(1.4688, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8708, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.4688, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(792.5691, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8618, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 20 loss: tensor(1.5517, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8904, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5517, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1741.1779, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8808, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 21 loss: tensor(1.6200, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0175, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6200, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1673.6219, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0364, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 22 loss: tensor(1.7676, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0827, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7676, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(911.8932, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0728, device='cuda:0', grad_fn=<MseLossBackward0>)
