epoch: 1 loss: tensor(779.5242, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5614, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(779.5242, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(7853.2681, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6131, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(746.4874, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9415, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(746.4874, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2929.7065, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4376, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(685.8268, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7879, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(685.8268, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4628.9287, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4474, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(831.2195, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.2703, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(831.2195, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5357.9814, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1871, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(670.7451, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8495, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(670.7451, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2710.7341, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.8843, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(763.8866, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.4365, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(763.8866, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8102.2979, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(3.2422, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(800.1122, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7945, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(800.1122, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(10568.8379, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.7919, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(812.1578, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.3362, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(812.1578, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8317.4287, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4545, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(700.7333, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.5174, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(700.7333, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3555.2549, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6214, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(715.0316, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.9447, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(715.0316, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5449.8613, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7892, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(805.5056, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7527, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(805.5056, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5570.9189, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.9492, device='cuda:0', grad_fn=<MseLossBackward0>)
