epoch: 1 loss: tensor(0.9930, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1087, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9930, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3070.0737, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9891, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 2 loss: tensor(0.7607, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9395, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7607, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3538.8831, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0241, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 3 loss: tensor(0.5362, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9364, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5362, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3092.7905, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9513, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 4 loss: tensor(0.3352, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9935, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.3352, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2192.0339, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0303, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 5 loss: tensor(0.3845, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9318, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.3845, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2240.9797, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0383, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 6 loss: tensor(0.3994, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9520, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.3994, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4290.4238, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0930, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 7 loss: tensor(0.4493, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9820, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4493, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5236.9663, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0726, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(0.9767, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1201, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9767, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(77.7884, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0825, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 2 loss: tensor(0.8164, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1539, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8164, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(7.5100, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1191, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 3 loss: tensor(1.0675, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0910, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0675, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(10.2909, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0480, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 4 loss: tensor(0.8547, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9478, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8547, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3.5836, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8891, device='cuda:0', grad_fn=<MseLossBackward0>)
